Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93851";"2001##00310071";"Casa";"119900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93852";"2001##00310072";"Casa";"119900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93853";"2001##00310073";"Casa";"116900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"93854";"2001##00310074";"Casa";"116900";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96565";"2001##00310078";"Casa";"121400";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96649";"2001##00310079";"Casa";"121400";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96650";"2001##00310080";"Casa";"121400";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96651";"2001##00310081";"Casa";"121400";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96652";"2001##00310082";"Casa";"121400";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96653";"2001##00310083";"Casa";"121400";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96654";"2001##00310084";"Casa";"121400";"0";
"IDD23110";"SAREB";"Las";"Arucas";"RAIMUNDO AFONSO SUAREZ";"14";"35400";"96655";"2001##00310085";"Casa";"121400";"0";
"IDD27660";"SAREB";"Tarragona";"Valls";"San Benet";"0012";"43800";"96786";"2001##00332719";"Piso";"76700";"0";
